session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,user_rating,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
session_016503,user_03603,movie_0416,6/8/25,Tablet,21.4,76.9,started,HD,USA,FALSE,,wmcdaniel@example.com,Richard,Sanders,,Male,USA,New York,Howardhaven,Standard,2022-12-05,FALSE,29.64,Mobile,,2022-11-03 8:47:56,A Mystery,Stand-up Comedy,Mystery,,1992,45,R,Spanish,USA,9.1,,,,,FALSE,2021-06-11,FALSE
session_093918,user_06071,movie_0891,4/28/25,Tablet,,22.2,paused,4K,USA,FALSE,,jessica82@example.org,Karen,Jones,,,Canada,Saskatchewan,Lake Donald,Premium,2023-05-15,TRUE,10.8,Laptop,2,2024-02-19 1:35:52,Ice House,Movie,Western,Thriller,2018,81,TV-Y7,French,UK,8.6,6422267,1560245,,,FALSE,2024-08-29,FALSE
session_058154,user_06746,movie_0184,8/19/25,Laptop,,73.7,completed,SD,Canada,FALSE,2,tlozano@example.org,John,Fowler,35,,USA,Indiana,Melissaborough,Premium,2024-04-11,TRUE,10.65,Tablet,1,2024-04-17 18:39:00,Legend House,Documentary,Documentary,,2000,84,PG-13,English,USA,7.3,,,,,TRUE,2021-06-26,FALSE
session_011454,user_02568,movie_0717,1/25/24,Mobile,,4.9,stopped,Ultra HD,USA,TRUE,,mark42@example.org,Elizabeth,Wilkerson,43,Female,USA,Michigan,Charlesmouth,Premium,2024-09-27,TRUE,11.75,Smart TV,1,2024-02-23 15:04:50,Queen Legend,TV Series,Sport,,1995,40,TV-Y,French,UK,5.1,,,14,147,FALSE,2023-10-17,FALSE
session_099250,user_03635,movie_0655,3/25/24,Tablet,27.1,,paused,HD,Canada,FALSE,,rstrong@example.com,Sarah,White,5,Prefer not to say,USA,New Jersey,Danielschester,Basic,2025-02-15,FALSE,11.2,Gaming Console,,2024-01-11 14:54:12,Hero Kingdom,Movie,Fantasy,Adventure,1995,166,TV-Y,English,USA,7.5,1537325,14483384,,,TRUE,2022-11-10,FALSE
session_081772,user_07185,movie_0720,5/12/24,Laptop,59.3,67.2,started,HD,USA,TRUE,,apowers@example.net,Randy,Stout,44,Female,Canada,Manitoba,Brittanymouth,Basic,2025-07-19,TRUE,8.15,Mobile,2,2024-11-24 8:36:43,Legend War,Stand-up Comedy,Western,History,2007,80,PG-13,English,USA,6.5,,,,,TRUE,2023-11-07,FALSE
session_038536,user_01260,movie_0716,3/9/24,Mobile,36.9,52.7,completed,HD,USA,FALSE,5,aferguson@example.org,Donna,Burton,38,Male,USA,Wisconsin,Gilbertchester,Standard,2025-05-24,TRUE,16.56,Gaming Console,1,2024-04-20 16:20:35,Love Battle,Stand-up Comedy,War,,2022,91,R,English,Germany,4.4,,,,,FALSE,2020-10-15,TRUE
session_075289,user_03704,movie_0312,1/24/24,Mobile,31.3,,paused,Ultra HD,USA,FALSE,,brandigray@example.org,Gary,Ray,26,Prefer not to say,USA,Florida,Hardyburgh,Premium,2024-01-26,TRUE,18.56,Smart TV,,2024-11-23 21:33:37,King Legend,TV Series,Romance,,2019,64,PG,English,UK,7.4,,,,192,TRUE,2022-11-24,TRUE
session_036262,user_03250,movie_0034,2/24/24,Laptop,61.1,21,stopped,HD,USA,TRUE,,hjohnson@example.org,Michael,Walker,34,Male,USA,Pennsylvania,North Anthonyshire,Premium,2023-05-08,TRUE,9.14,Laptop,,2025-02-02 1:03:50,Mission Kingdom,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,,,14,138,TRUE,2023-10-22,TRUE
session_053643,user_08581,movie_0552,10/9/24,Tablet,19.2,48.9,paused,HD,USA,FALSE,,carmen57@example.com,Sharon,Hunt,14,Male,USA,Illinois,South Linda,Standard,2025-07-21,FALSE,43.73,Tablet,2,2024-10-19 12:42:32,A Mission,Documentary,Romance,,2017,88,TV-14,English,UK,,,,,,TRUE,2025-01-17,TRUE
