session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,user_rating,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
session_016503,user_03603,movie_0416,6/8/25,Tablet,21.4,76.9,started,HD,USA,False,,wmcdaniel@example.com,Richard,Sanders,,Male,USA,New York,Howardhaven,Standard,2022-12-05,False,29.64,Mobile,,2022-11-03 08:47:56.439708,A Mystery,Stand-up Comedy,Mystery,,1992,45.0,R,Spanish,USA,9.1,,,,,False,2021-06-11,False
session_093918,user_06071,movie_0891,4/28/25,Tablet,,22.2,paused,4K,USA,False,,jessica82@example.org,Karen,Jones,,,Canada,Saskatchewan,Lake Donald,Premium,2023-05-15,True,10.8,Laptop,2.0,2024-02-19 01:35:52.043376,Ice House,Movie,Western,Thriller,2018,81.0,TV-Y7,French,UK,8.6,6422267.0,1560245.0,,,False,2024-08-29,False
session_058154,user_06746,movie_0184,8/19/25,Laptop,,73.7,completed,SD,Canada,False,2.0,tlozano@example.org,John,Fowler,35.0,,USA,Indiana,Melissaborough,Premium,2024-04-11,True,10.65,Tablet,1.0,2024-04-17 18:39:00.400592,Legend House,Documentary,Documentary,,2000,84.0,PG-13,English,USA,7.3,,,,,True,2021-06-26,False
session_011454,user_02568,movie_0717,1/25/24,Mobile,,4.9,stopped,Ultra HD,USA,True,,mark42@example.org,Elizabeth,Wilkerson,43.0,Female,USA,Michigan,Charlesmouth,Premium,2024-09-27,True,11.75,Smart TV,1.0,2024-02-23 15:04:49.886269,Queen Legend,TV Series,Sport,,1995,40.0,TV-Y,French,UK,5.1,,,14.0,147.0,False,2023-10-17,False
session_099250,user_03635,movie_0655,3/25/24,Tablet,27.1,,paused,HD,Canada,False,,rstrong@example.com,Sarah,White,5.0,Prefer not to say,USA,New Jersey,Danielschester,Basic,2025-02-15,False,11.2,Gaming Console,,2024-01-11 14:54:12.331774,Hero Kingdom,Movie,Fantasy,Adventure,1995,166.0,TV-Y,English,USA,7.5,1537325.0,14483384.0,,,True,2022-11-10,False
session_081772,user_07185,movie_0720,5/12/24,Laptop,59.3,67.2,started,HD,USA,True,,apowers@example.net,Randy,Stout,44.0,Female,Canada,Manitoba,Brittanymouth,Basic,2025-07-19,True,8.15,Mobile,2.0,2024-11-24 08:36:42.533342,Legend War,Stand-up Comedy,Western,History,2007,80.0,PG-13,English,USA,6.5,,,,,True,2023-11-07,False
session_038536,user_01260,movie_0716,3/9/24,Mobile,36.9,52.7,completed,HD,USA,False,5.0,aferguson@example.org,Donna,Burton,38.0,Male,USA,Wisconsin,Gilbertchester,Standard,2025-05-24,True,16.56,Gaming Console,1.0,2024-04-20 16:20:34.584636,Love Battle,Stand-up Comedy,War,,2022,91.0,R,English,Germany,4.4,,,,,False,2020-10-15,True
session_075289,user_03704,movie_0312,1/24/24,Mobile,31.3,,paused,Ultra HD,USA,False,,brandigray@example.org,Gary,Ray,26.0,Prefer not to say,USA,Florida,Hardyburgh,Premium,2024-01-26,True,18.56,Smart TV,,2024-11-23 21:33:37.044688,King Legend,TV Series,Romance,,2019,64.0,PG,English,UK,7.4,,,,192.0,True,2022-11-24,True
session_036262,user_03250,movie_0034,2/24/24,Laptop,61.1,21.0,stopped,HD,USA,True,,hjohnson@example.org,Michael,Walker,34.0,Male,USA,Pennsylvania,North Anthonyshire,Premium,2023-05-08,True,9.14,Laptop,,2025-02-02 01:03:49.873021,Mission Kingdom,TV Series,War,Horror,2018,48.0,TV-PG,English,India,7.7,,,14.0,138.0,True,2023-10-22,True
session_053643,user_08581,movie_0552,10/9/24,Tablet,19.2,48.9,paused,HD,USA,False,,carmen57@example.com,Sharon,Hunt,14.0,Male,USA,Illinois,South Linda,Standard,2025-07-21,False,43.73,Tablet,2.0,2024-10-19 12:42:32.361365,A Mission,Documentary,Romance,,2017,88.0,TV-14,English,UK,,,,,,True,2025-01-17,True
session_076950,user_06307,movie_0585,2/16/24,Tablet,66.8,3.1,stopped,4K,USA,False,,gnicholson@example.net,Melissa,King,35.0,,USA,Pennsylvania,Ryanchester,Standard,2023-07-04,True,3.85,Gaming Console,2.0,2025-07-11 01:02:30.430222,Quest Battle,TV Series,Comedy,,2023,59.0,G,Spanish,USA,,,,6.0,101.0,False,2020-11-25,False
session_030413,user_06210,movie_0802,7/31/24,Laptop,,15.7,completed,4K,USA,False,,sarah47@example.com,Tiffany,Ortiz,19.0,Male,USA,Florida,New Trevorfort,Premium+,2024-06-23,True,13.04,Gaming Console,3.0,2023-12-20 14:00:44.608405,Day Dragon,TV Series,Adventure,,2006,45.0,G,French,South Korea,6.2,,,2.0,174.0,False,2021-03-13,False
session_054815,user_05751,movie_0327,9/8/24,Mobile,,57.3,started,SD,USA,False,,kaitlyn50@example.com,Elizabeth,Scott,,Male,USA,Georgia,Maryshire,Premium,2024-07-06,True,26.1,Laptop,3.0,2023-05-17 12:00:07.515330,The Storm,TV Series,History,Drama,2005,48.0,G,English,USA,7.4,,,2.0,164.0,False,2021-10-05,False
session_086606,user_04894,movie_0932,7/3/24,Laptop,18.4,11.2,stopped,HD,USA,False,,cynthia74@example.net,Sandra,Todd,,Male,Canada,Nova Scotia,Jasminetown,Premium,2023-10-13,True,8.18,Smart TV,3.0,2024-08-09 05:19:43.252401,Hero Empire,Limited Series,Sci-Fi,Adventure,1992,63.0,NC-17,English,USA,9.0,,,6.0,46.0,False,2021-04-22,False
session_040833,user_04121,movie_0223,6/21/25,Smart TV,39.3,46.6,completed,HD,USA,True,,george41@example.net,Maria,Browning,33.0,Male,USA,Washington,East Noahside,Premium+,2024-03-29,True,13.72,Gaming Console,,2022-08-29 05:48:04.335342,Story Phoenix,TV Series,History,,2006,50.0,TV-G,Hindi,USA,6.3,,,,156.0,False,2020-10-22,False
session_056353,user_08150,movie_0627,7/21/25,Smart TV,90.3,73.1,completed,HD,USA,False,5.0,jennifer49@example.com,Nicholas,Hess,40.0,Female,Canada,Nova Scotia,New Jenniferview,Premium,2024-01-24,True,20.35,Laptop,2.0,2024-01-22 11:18:19.501265,Love Legend,Movie,Western,,2018,121.0,NC-17,English,Germany,6.5,2533936.0,45685991.0,,,False,2024-12-29,False
session_032488,user_01720,movie_0700,7/8/24,Desktop,60.8,6.3,completed,4K,USA,False,,sbanks@example.org,Robert,Ward,38.0,Male,USA,New Jersey,Ricardomouth,Premium,2024-03-02,False,15.05,Tablet,2.0,2023-09-23 13:38:50.985860,A Secret,Movie,Biography,,1995,94.0,G,English,USA,6.3,1080214.0,26058332.0,,,True,2024-04-09,False
session_021993,user_09611,movie_0789,2/22/24,Desktop,,26.1,completed,HD,Canada,False,,anthonymay@example.net,Michael,Schneider,28.0,Female,Canada,Saskatchewan,West Elaineport,Standard,2023-06-25,True,12.97,Desktop,,2024-04-11 08:53:29.959208,Adventure Quest,Movie,Action,Drama,1996,123.0,PG,Hindi,UK,5.2,1252871.0,1563002.0,,,False,2025-02-08,False
session_011798,user_08567,movie_0920,4/29/25,Tablet,41.1,82.5,stopped,4K,Canada,False,,andersonjoshua@example.org,Jennifer,Thompson,43.0,Male,USA,Michigan,Robertville,Basic,2023-12-12,True,9.42,Desktop,7.0,2024-07-15 03:32:11.497137,Story Warrior,Movie,Music,,1998,129.0,R,English,Canada,10.0,1568923.0,910439.0,,,False,2021-07-11,False
session_042995,user_07317,movie_0151,10/20/24,Laptop,17.1,93.9,paused,4K,USA,False,,salinascheryl@example.com,Michael,Kelly,19.0,,USA,Michigan,North Jacquelinechester,Premium,2024-10-06,True,13.72,Laptop,,2022-09-29 12:48:17.001412,Night Love,Movie,Animation,,2005,98.0,TV-Y,English,South Korea,6.2,5071451.0,235899.0,,,False,2022-12-11,False
session_083883,user_01309,movie_0821,3/14/24,Desktop,67.4,69.3,paused,4K,USA,False,,dylan03@example.org,Rhonda,Cook,,Male,USA,New Jersey,South Jamesport,Basic,2022-09-15,True,15.44,Tablet,4.0,2024-04-11 12:46:18.862812,Hero King,Movie,Sci-Fi,,2011,109.0,NC-17,Spanish,USA,4.0,821340.0,,,,False,2023-12-20,False
session_011504,user_00310,movie_0298,11/18/25,Tablet,7.5,45.4,completed,HD,USA,False,,hollyortega@example.com,Tony,Alvarez,59.0,Female,Canada,Prince Edward Island,Murrayburgh,Standard,2024-11-20,True,19.72,Laptop,,2024-02-10 15:23:12.529556,City Dream,Movie,Adventure,,2014,121.0,PG-13,Korean,USA,6.9,2411775.0,4770765.0,,,True,2021-02-08,False
session_028322,user_04407,movie_0930,2/5/25,Mobile,102.1,33.1,completed,HD,Canada,False,,alejandroporter@example.org,Nicholas,Mason,33.0,Female,USA,Maryland,Port Matthewberg,Premium,2024-11-17,False,2.55,Laptop,2.0,2024-07-12 01:34:20.971875,Dark Day,Limited Series,Animation,History,1991,18.0,TV-14,English,Canada,5.8,,,8.0,99.0,False,2025-04-30,False
session_088954,user_00886,movie_0382,1/15/25,Mobile,19.0,47.1,completed,SD,Canada,True,,michelle02@example.com,Jennifer,Morgan,45.0,Male,Canada,New Brunswick,Jamestown,Premium,2023-12-29,True,17.2,Tablet,3.0,2023-10-27 14:54:49.745583,Love Empire,Documentary,War,War,2012,66.0,TV-G,English,Canada,5.5,,,,,False,2021-10-10,True
session_008067,user_08023,movie_0049,1/30/25,Laptop,129.1,26.5,paused,Ultra HD,USA,True,,yduke@example.net,Donald,Parker,25.0,Female,USA,Virginia,Christopherland,Premium+,2023-06-17,True,20.39,Gaming Console,2.0,2024-06-08 00:35:09.966590,Kingdom Day,Movie,Thriller,,2023,111.0,NC-17,English,Germany,4.6,629194.0,2736647.0,,,False,2024-03-03,False
session_055159,user_06292,movie_0013,7/17/24,Mobile,6.8,35.6,paused,4K,USA,False,,fsmith@example.com,Cassidy,Anderson,37.0,Female,USA,Illinois,Stephanieland,Premium,2023-07-16,True,20.06,Mobile,4.0,2024-12-29 08:01:38.220704,Dream Journey,Movie,Romance,,2013,138.0,PG,English,Germany,8.6,1758821.0,3573506.0,,,False,2021-01-20,True
session_099340,user_08226,movie_0507,3/14/25,Laptop,21.7,96.8,stopped,HD,USA,True,,keithstewart@example.net,Laura,Frederick,21.0,Female,USA,California,Laurabury,Premium+,2023-10-29,True,4.7,Smart TV,1.0,2023-01-21 01:35:18.509204,Old Empire,Movie,Thriller,,1991,118.0,PG-13,Spanish,USA,4.9,5168542.0,23957389.0,,,False,2025-06-14,True
